image,caption
2410399168_1462c422d4.jpg,تظهر الصورة كلبان من فصيلة السلوقي وهما يلعبان في حقل عشبي، أحدهما يقفز بينما الآخر يركض.
241046599_28b0ca7b9f.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

كلب داشهوند أحمر اللون يرتدي سترة أرجوانية وخضراء ويقف في العشب الأخضر."
2410562803_56ec09f41c.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تجلس ثلاثة أشخاص على مقاعد خشبية أمام متجر، وكل منهم منغمس في استخدام أجهزته الإلكترونية مثل الكمبيوتر المحمول والهواتف الذكية."
2410618963_fb78307d18.jpg,الصورة تظهر طفلاً يركض مبتسماً في زقاق مهجور مليء بالنفايات والجدران الملطخة بالكتابات على الجدران.
241109594_3cb90fe2a3.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

كلب أسترالي راعي صغير يسبح في الماء وهو يحمل عصا في فمه."
2411824767_4eb1fae823.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

كلب كورجي يركض ويقفز فوق بالات القش مع خلفية من الماء والمناظر الطبيعية."
2412390588_a89cab30f4.jpg,الصورة تظهر طفلاً صغيراً يرتدي معطفاً أحمر ويشير إلى زهرة توليب برتقالية في حقل مليء بالزهور الملونة.
241345323_f53eb5eec4.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

يظهر لاعب كرة قدم يرتدي زي فريق أوكلاهوما سونرز رقم 50 في وضعية استعداد للعب ضد خصومه في ملعب ممتلئ بالمشاهدين."
241345427_ece0d186c2.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

يظهر في الصورة لاعب كرة قدم يرتدي زي فريق واشنطن وهو يركض بالكرة بينما يحاول لاعب من الفريق المنافس إيقافه."
241345446_2e47ae8ddc.jpg,الصورة تظهر بوب ستونز، مدرب كرة القدم الأمريكية، وهو يقف على خط الملعب ويرتدي قميصًا أبيض عليه شعار جامعة أوكلاهوما.
241345522_c3c266a02a.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

يظهر لاعب كرة قدم يرتدي زيًا بنفسجيًا وذهبيًا وهو يركض بالكرة على أرض الملعب ، بينما يتبعه حكم."
241345533_99c731403a.jpg,الصورة تظهر مدرب كرة قدم يرتدي سماعة رأس وقبعة بيضاء، ويبدو أنه يتحدث إلى حكم أو لاعب على أرض الملعب.
241345596_91e0e2daf5.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

تظهر الصورة ثلاثة لاعبين في فريق كرة القدم بجامعة أوكلاهوما وهم يحتفلون بفوزهم أمام جمهور متحمس يرتدي اللون الأحمر."
241345639_1556a883b1.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة لاعب كرة قدم يرتدي قميصًا أحمر وهو يتعرض للعرقلة من قبل لاعبين يرتديان قميصًا أرجوانيًا في ملعب مليء بالمتفرجين."
