image,caption,Gemma_caption,Gemini_caption,Llama_caption
1001773457_577c3a7d70.jpg,كلب اسود وكلب ثلاثي الالوان يلعبان مع بعضهما البعض علي الطريق,يواجه كلبان بعضهما البعض علي طريق ترابي، ويبدو انهما علي وشك الاشتباك او يلعبان بطريقه عدوانيه.,كلبان يلعبان علي طريق اسفلتي.,الكلاب الثلاثه يركضون في الطريق.
1002674143_1b742ab4b8.jpg,فتاه صغيره مغطاه بالطلاء تجلس امام قوس قزح,طفله صغيره جالسه علي العشب امام قوس قزح كبير رسمته بالطلاء، مع وجود اواني طلاء ملونه حولها.,تظهر الصوره طفله صغيره ملطخه بالالوان تجلس علي العشب وترسم امام لوحه بيضاء عليها قوس قزح كبير وملون.,طفله صغيره تقوم بالرسم علي لوح ابيض كبير في الخارج، امامها قوس قزح مرسوم بالوان زاهيه، وتظهر علامات طلاء علي اللوح والارض.
1003163366_44323f5815.jpg,رجل يجلس علي مقعد بينما يجلس كلبه بجانبه,رجل مستلق علي مقعد في الهواء الطلق، بينما يجلس كلبه الفرنسي الصغير امامه، ويبدو انه يراقب او ينتظر صاحبه.,رجل مستلق علي مقعد وكلبه جالس امامه امام سد ماءي.,رجل عاري الصدر واقف علي ظهره علي مقعد مع كلب بجواره.
1007129816_e794419615.jpg,رجل يرتدي قبعه برتقاليه,"رجل يرتدي قبعه غريبه مصنوعه من علب بيره ""-"" محاطه بحافه برتقاليه من الكروشيه، وينظر الي الجانب بابتسامه خفيفه.",رجل يرتدي نظارات وقبعه برتقاليه فريده مصنوعه من ملصقات علب البيره.,رجل يرتدي قبعه مصنوعه من قطع بطاقات ترويجيه لشركه .
1007320043_627395c3d8.jpg,طفل يلعب علي حبل,طفله صغيره تتسلق شبكه حمراء في ملعب، وتبدو سعيده ومستمتعه.,طفله صغيره تتسلق شبكه حبال حمراء في ملعب وتنظر الي الكاميرا.,طفله تتسلق في ساحه لعب.
1009434119_febe49276a.jpg,كلب ابيض واسود يركض في حديقه عشبيه محاطه بسياج ابيض,يركض كلب بوستون تيرير اسود وابيض علي العشب الاخضر مع سياج ابيض في الخلفيه.,كلب بوسطن تيرير يركض بحماس في حديقه خضراء.,كلب من فصيله البلدغ يركض بمرح في الحديقه.
1012212859_01547e3f17.jpg,كلب يهز راسه بالقرب من الشاطء ، كره حمراء بجانبه,كلب ابيض اللون، ربما من نوع جاك راسل تيرير، يلعب بكره حمراء علي شاطء بحيره او نهر، ويبدو انه قد دخل للتو في الماء.,كلب ابيض يهز جسمه لينفض الماء عن نفسه علي الشاطء، وبجانبه كره.,كلب ابيض يلعب علي الشاطء مع كره حمراء.
1015118661_980735411b.jpg,صبي يبتسم امام حاءط صخري في مدينه,طفلا صغيرا يرتدي ملابس زرقاء وبيضاء، ينظر الي الكاميرا ويبتسم، بينما يقف رجل في الخلفيه بالقرب من جدار حجري.,صبي صغير مبتسم يمشي علي الرصيف امام جدار حجري، مع رجل وراءه وعمود اسود بصنبور ماء علي اليمين.,ولد صغير بجانب صنبور ماء عام.
1015584366_dfcec3c85a.jpg,كلب اسود يقفز فوق الجذع,كلب اسود اللون يقفز بحماس فوق جذع شجره في حديقه خضراء.,كلب سعيد يقفز فوق جذع شجره في الهواء الطلق.,كلب اسود اللون قادم من فوق جذع شجره.
101654506_8eb26cfb60.jpg,كلب ابيض وابيض يمر عبر الثلج,يركض كلب رمادي وابيض في الثلج، ويبدو سعيدا ومتحمسا.,كلب رشيق يركض بفرح في الثلج المتناثر.,كلب يجري في الثلج.
101669240_b2d3e7f17b.jpg,رجل في القبعه يعرض صورا بجوار احد المتزلجين في قبعه زرقاء,رساما يعرض لوحاته في الغابه المغطاه بالثلوج بينما يمر متزلج بجانبه.,متزلج يمر بجانب رجل يعرض لوحات فنيه في غابه ثلجيه.,رجل يتزلج في الغابه الشتويه واخر يعرض لوحات فنيه.
1016887272_03199f49c4.jpg,صور لشخص واحد يتسلق جرفا,مجموعه من الاشخاص يتسلقون جدارا اصطناعيا بينما يقوم شخص اخر بتامينهم بحبل.,متسلقه صخور في لقطات متتاليه اثناء تقدمها علي الحاءط، مع شخص يءمنها في الاسفل.,صوره لعدد من الاشخاص وهم يتسلقون حاءط صخره كبير.
