image,caption
182493240_40410254b0.jpg,شخصان مبتهجان يستمتعان بمنظر الجبال الثلجية الخلاب.
1827560917_c8d3c5627f.jpg,كلب بعيون واسعة يحمل غرضًا بنيًا ويرتدي سترة عاكسة برتقالية في منطقة عشبية.
1835511273_790eaae6e6.jpg,تُظهر الصورة رجلًا يرتدي زيًا كاملاً من الجلد الأحمر اللامع وقناعًا أحمر اللون بقرون صغيرة.
1836335410_de8313a64e.jpg,رجل يرتدي زي الجيدي ويحمل سيفًا ضوئيًا متوهجًا.
1837976956_3c45d0f9b8.jpg,امرأة تغني بحماس على الميكروفون وخلفها عازف غيتار.
185057637_e8ada37343.jpg,تتجمع مجموعة من خمسة أشخاص يرتدون قمصانًا سوداء متطابقة في حديقة، ويبدو أن أحدهم يقدم تعليمات بلوح كتابي.
1858963639_4588cd4be9.jpg,شابة مبتسمة ترتدي خوذة وتجهز حبل التسلق.
185972340_781d60ccfd.jpg,رجل يقود سيارة دفع رباعي خضراء تتسلق الصخور على طريق وعر في غابة كثيفة.
1859726819_9a793b3b44.jpg,"شخص بمظهر دراغ يقف مبتسماً أمام متجر تضيئه لافتة نيون حمراء مكتوب عليها ""RED LIGHT""."
1859941832_7faf6e5fa9.jpg,كلب يقفز بنشاط في حقل عشبي وهو يحمل قرصًا طائرًا في فمه.
1860543210_47e94cf652.jpg,"يظهر رجل ذو شعر طويل ولحية يرتدي سترة بغطاء رأس وحقيبة ظهر واقفاً في شارع ليلي، ويصنع إشارة ""تمام"" بيده."
186346360_541047336f.jpg,امرأة مبتسمة ترتدي قبعة وملابس سباحة على قمة صخرية تطل على بحيرة واسعة وغابات خضراء تحت سماء صافية.
186348874_75b2cf1ec5.jpg,يتسابق راكبو الدراجات الجبلية على طريق ترابي يمر عبر غابة خضراء، مثيرين الغبار خلفهم.
1865794069_6e3a1e57bb.jpg,صبي صغير يرتدي زيًا رياضيًا أزرق يركل كرة قدم في ملعب عشبي، بينما يتواجد آخرون في الخلفية.
186890601_8a6b0f1769.jpg,يتأرجح رجل بحبل فوق الماء.
186890605_ddff5b694e.jpg,يظهر شاب يتأرجح بحبل فوق بحيرة زرقاء صافية، يستعد للقفز في الماء.
1874617189_e85d3f4326.jpg,يظهر ثلاثة أطفال ينحنون على الشاطئ الرملي لبحيرة.
1876536922_8fdf8d7028.jpg,كلبان يلعبان ببهجة في مياه البحر المتلألئة بضوء الغروب.
1884065356_c6c34b4568.jpg,كلب أسود يلعب بكرة في الماء المتناثر.
1884727806_d84f209868.jpg,رجل وامرأة يرتديان قبعات ميكي ماوس يقفان في حشد.
1895768965_43cd9d164f.jpg,كلب مرقط يجري على طريق مغطى بأوراق الخريف المتساقطة.
1897025969_0c41688fa6.jpg,كلبان أحدهما أسود والآخر فاتح يلعبان على الرمال.
189721896_1ffe76d89e.jpg,متسلق صخور يتسلق شقًا صخريًا عميقًا من منظور علوي.
189740668_0b045f1ff2.jpg,تُظهر الصورة متسلق صخور يتأرجح على جرف صخري ضخم فوق وادٍ جبلي أخضر.
190638179_be9da86589.jpg,رجل يقف بجانب سيارة جيب معدلة على قمة تل، ممسكًا بجهاز اتصال لاسلكي.
190965502_0b9ed331d9.jpg,تُظهر الصورة منطقة استرخاء على شاطئ البحر، مليئة بكراسي الاستلقاء وأشخاص يستمتعون بالشمس، محاطة بكتل خرسانية ضخمة.
191003283_992257f835.jpg,طفل وامرأة يسيران في ساحة عامة حيوية.
191003284_1025b0fb7d.jpg,يساعد رجل فتاة صغيرة تقف على دراجة هوائية.
191003285_edd8d0cf58.jpg,رجل وطفلة يجلسان على الأرض ويتناولان الحلوى.
191003287_2915c11d8e.jpg,رجل يطعم طفلة صغيرة الآيس كريم بينما يجلسان على الأرض.
191592626_477ef5e026.jpg,متسلق جبال يتسلق قمة صخرية مع خلفية جبال جليدية.
1917203130_fcaff8b10e.jpg,تظهر طفلة صغيرة من الخلف، بذراعيها الممدودتين، وهي تنظر إلى القباب الزجاجية اللامعة في الخلفية من ممر خشبي.
1917265421_aeccf1ca38.jpg,تُظهر الصورة أطفالًا يطاردون خنزيرًا صغيرًا في حقل عشبي، بينما يشاهد الكبار من خلف سياج في حدث خارجي.
1918573100_d31cbb6b77.jpg,كلب يقفز بخفة على لوح خشبي.
19212715_20476497a3.jpg,شخص يجدف بقارب كاياك في مياه بحر هادئة.
1921398767_771743bf4e.jpg,كلب يلعب على شاطئ رملي جميل بجوار البحر والجرف الصخري.
1923476156_e20976b32d.jpg,كلب أبيض يسير على مقود بجانب شخص يقود دراجة هوائية.
1924234308_c9ddcf206d.jpg,تظهر الصورة امرأة تتنقل بحذر بين الصخور في مجرى مائي جبلي.
1925434818_2949a8f6d8.jpg,امرأة وطفلان يلعبون بسعادة ويضحكون في حوض الكرات الملون.
1926129518_4350f4f552.jpg,كلبان يلعبان ويقفزان بحيوية في حديقة خضراء.
1928319708_ccf1f4ee72.jpg,رجل يرتدي خوذة يركب دراجة على مسار مخصص للدراجات.
1931690777_897a7d8ab6.jpg,أربعة أولاد يقفزون في المسبح.
1932161768_996eadac87.jpg,كلب أبيض صغير ينحني ليتفحص جذع شجرة خشبي في العشب.
1932314876_9cc46fd054.jpg,يظهر رجل يجلس مسترخياً وأقدامه في مجرى مائي صخري.
1936215201_d03a75cbba.jpg,طفل صغير يبتسم ويحمل كرة زرقاء في الهواء الطلق.
1937104503_313d22a2d0.jpg,كلب أسود وأبيض مبلل يهز جسمه والماء يتناثر حوله.
1937262236_cbf5bfa101.jpg,كلبان يتجاذبان لعبة على الرمال.
1947351225_288d788983.jpg,يتجمع الأطفال في الهواء الطلق، ويظهر أحدهم هدية بفرح.
195084264_72fb347b0f.jpg,رجل مبتسم يعرض أوعية وأطباق خشبية مصنوعة يدويًا.
1952896009_cee8147c90.jpg,امرأة تسير حاملة طفلاً على ظهرها وعدة حقائب.
1956678973_223cb1b847.jpg,أطفال يلعبون بسعادة في كومة من أوراق الشجر بالحديقة.
1956944011_c5661d3f22.jpg,تُظهر الصورة فتاة صغيرة تتعلق بقضبان التسلق بينما يقف طفل آخر أصغر تحتها في الملعب.
1957371533_62bc720bac.jpg,كلب أبيض وأسود ينفض الماء من جسده بقوة، وتتناثر قطراته في الهواء.
195962284_e57178054a.jpg,طفل يركض في بركة مياه، يصنع رشاشات متلألئة تحت أشعة الشمس.
195962790_3380aea352.jpg,امرأة تجلس على حافة بجانب الماء، يرافقها جرو وكلب كبير.
1962729184_6996e128e7.jpg,أطفال بالزي المدرسي يتجمعون في شارع قرب ميناء.
1965278563_8279e408de.jpg,كلب يستمتع بجولة هادئة في زورق على الماء.
1969573381_5ecfae4c80.jpg,كلب بني فاتح يقف وسط خضرة مورقة وينظر مباشرة إلى الكاميرا.
197107117_4b438b1872.jpg,رياضي يوازن على حبل رفيع بين قمتين صخريتين شاهقتين تحت سماء زرقاء صافية.
197142902_f05ff198c2.jpg,شخصان يستمتعان بنفخ الفقاعات الملونة.
197504190_fd1fc3d4b7.jpg,ولدان يلعبان كرة القدم في حقل عشبي، تحت ضوء الشمس الذهبي الذي يلقي بظلال طويلة.
1975171469_84e425f61b.jpg,"طفل صغير يلعب لعبة أركيد تشبه ""اضرب الخلد""، مستخدماً مطرقة لضرب المخلوقات البحرية التي تظهر من الفتحات."
1975531316_8b00eeaaf7.jpg,جرو صغير يمشي بمقود على أرضية خرسانية.
1977827746_4e13d7e19f.jpg,طفلان يتناولان نقانق الذرة وهما يجلسان في عربة أطفال في الهواء الطلق.
197924859_f6e39a7dfa.jpg,شخص يستحم في الهواء الطلق باستخدام مرشة ماء.
1980315248_82dbc34676.jpg,يظهر رجل وهو يستخدم منفاخ أوراق الشجر لتنظيف الحديقة.
1980882959_9a161f3469.jpg,مجموعة من الأشخاص ينقلون كميات كبيرة من الأكياس باستخدام الدراجات والعربات في موقف للسيارات.
1982852140_56425fa7a2.jpg,تظهر الصورة امرأة وطفلاً يركضان على شاطئ البحر، بينما يمارس آخرون السباحة في الماء.
1984936420_3f3102132b.jpg,طفلان يصطادان سمكة في مجرى مائي صخري محاط بالأشجار.
1989145280_3b54452188.jpg,امرأة شقراء ذات نظارة شمسية على رأسها تنظر للأسفل بتعبير متوتر، ويداها مرفوعتان قرب وجهها.
1991806812_065f747689.jpg,مقاتل يوجه ركلة طائرة لخصمه في حلبة الفنون القتالية.
1994416869_4dd769a806.jpg,
199463720_329a802206.jpg,زوجان يركبان دراجات هوائية على طريق محاط بالأشجار.
199809190_e3f6bbe2bc.jpg,ثلاثة شبان يقفزون في بحيرة صافية.
1998255400_0cd086908f.jpg,كلب يشرب الماء من صنبور تفتحه يد إنسان.
1998457059_c9ac9a1e1a.jpg,أناس يستمتعون بالسباحة والتزلج على الأمواج في البحر.
1999444757_1b92efb590.jpg,تُظهر الصورة ممارس فنون قتالية بسيف في حركة سريعة، بينما يشاهد المتفرجون من الخلف.
2000459828_3c9e109106.jpg,تُظهر الصورة ثلاثة أشخاص يتنزهون في منطقة جبلية صخرية، أحدهم يحمل طفلاً على كتفيه.
2003663004_5b70920a98.jpg,لاعب كرة قدم أمريكية يرتدي زي غرين باي باكرز رقم 4 يتسلم منشفة على الملعب.
2004674713_2883e63c67.jpg,كلبان يلعبان بحماس، أحدهما يقفز على الآخر، بجانب شخص في حديقة للكلاب.
200771289_31902164a7.jpg,يظهر في الصورة رجلان من الخلف يسيران في الهواء الطلق، أحدهما يرتدي سترة تكتيكية عليها علم أمريكي والآخر يحمل حقيبة ظهر.
2009636597_e3f4fe19fb.jpg,رجل يجلس على الأرض يعزف على جيتار كهربائي ويدخن سيجارة.
201682811_105241dee3.jpg,يُظهر تمثال برونزي من الخلف شابين يلعبان الكريكيت على أرضية إسفلتية.
2017276266_566656c59d.jpg,كلب صغير يقفز في الهواء ممسكًا بلعبة متدلية من غصن شجرة، بينما يشاهده كلب آخر من الأسفل.
2021602343_03023e1fd1.jpg,يظهر طفلان في ملعب لكرة السلة، أحدهما يحمل الكرة وينظر بجدية.
2021613437_d99731f986.jpg,صبي صغير يراوغ كرة السلة في صالة رياضية.
2021671653_567395c7cf.jpg,ولد صغير يركض مبتسمًا في فناء خارجي.
2029280005_a19609c81a.jpg,يظهر رجل يتزلج بالعجلات في حديقة.
2030781555_b7ff7be28f.jpg,يصطاد العديد من الأشخاص السمك على طول رصيف يطل على الماء.
203114209_e4cd71a6b7.jpg,امرأة تستمتع بركوب أنبوب مطاطي مائي مثير، حيث تتناثر المياه بقوة حولها.
2034553054_b00c166895.jpg,يظهر في الصورة طفل يرتدي زيًا تاريخيًا يجلس عند طاولة خشبية عليها سلة تفاح، مع وجود خيام في الخلفية.
2036407732_d5a0389bba.jpg,مجموعة من الأشخاص يتجولون في أرض قاحلة باتجاه جبال مغطاة بالثلوج.
2038662925_f4fa8c2534.jpg,يظهر شخصان يرتديان خوذات دراجات وهما يجلسان على مقعد ويتحدثان.
2039457436_fc30f5e1ce.jpg,امرأة بزي رعاة البقر تعبر سياجًا شائكًا أمام منزل ريفي قديم، بينما يراقبها شخصان من الشرفة.
2040941056_7f5fd50794.jpg,كلبان أشقران يلعبان في الهواء الطلق، أحدهما يقف على قائمتيه الخلفيتين ويعانق الآخر.
2041867793_552819a40b.jpg,طفل يلعب بقناع غواص ورقي في مطعم يطل على الميناء.
2042009399_afad34e7c1.jpg,أولاد يلعبون رياضة كرة القدم الأمريكية بالأعلام في ملعب ترابي.
2043427251_83b746da8e.jpg,شخص مبتهج يقفز بفرح في بركة ماء كبيرة على طريق مبلل، مسبباً تناثر المياه في يوم ممطر.
2043520315_4a2c782c90.jpg,متجولون وكلب يصعدون تلة خضراء مورقة تطل على مدينة ساحلية محاطة بالجبال.
2044063458_fcc76a7636.jpg,كلبان يركضان بمرح في العشب.
2045023435_181854c013.jpg,كلب رمادي وفمه مفتوح يلتقط كرة تنس في الهواء الطلق.
2045109977_b00ec93491.jpg,عامل تنظيف زجاج مبتسم يرفع قطعة قماش زرقاء وهو يقف أمام أبواب زجاجية.
2045562030_654ddea5e5.jpg,مجموعة من الشباب بأزياء مميزة وشعر ملون يقفون معاً في الهواء الطلق.
2045928594_92510c1c2a.jpg,تُظهر الصورة شخصًا يجلس على حافة خرسانية وبجانبه حقائب.
2046222127_a6f300e202.jpg,عامل يرتدي سترة صفراء يحمل لوحًا خشبيًا.
2046778775_0dd7cac6ab.jpg,تُظهر الصورة أطفالاً يصطفون على مسرح، بينما تقف طفلة صغيرة بمفردها على الدرج، ويراقبهم الكبار.
2049051050_20359a434a.jpg,تجلس امرأة ترتدي قبعة سوداء ووشاحًا ملونًا على شاطئ رملي، بجانب صخرة كبيرة، مع بطانية وردية تغطي ساقيها.
2049646140_d0de01e3c4.jpg,طفل يؤدي حركة جمباز على بساط أزرق في صالة ألعاب رياضية.
2050067751_22d2763fd2.jpg,طفل ينظر بفضول إلى غطاء بالوعة على الأرض.
2051194177_fbeee211e3.jpg,كلب ذهبي سعيد يركض في الماء حاملاً عصا في فمه.
