image,caption
1001773457_577c3a7d70.jpg,كلبان يلعبان على طريق أسفلتي.
1002674143_1b742ab4b8.jpg,تظهر الصورة طفلة صغيرة ملطخة بالألوان تجلس على العشب وترسم أمام لوحة بيضاء عليها قوس قزح كبير وملون.
1003163366_44323f5815.jpg,يظهر في الصورة رجل مستلقٍ على مقعد وكلبه جالس أمامه أمام سد مائي.
1007129816_e794419615.jpg,رجل يرتدي نظارات وقبعة برتقالية فريدة مصنوعة من ملصقات علب البيرة.
1007320043_627395c3d8.jpg,طفلة صغيرة تتسلق شبكة حبال حمراء في ملعب وتنظر إلى الكاميرا.
1009434119_febe49276a.jpg,كلب بوسطن تيرير يركض بحماس في حديقة خضراء.
1012212859_01547e3f17.jpg,كلب أبيض يهز جسمه لينفض الماء عن نفسه على الشاطئ، وبجانبه كرة.
1015118661_980735411b.jpg,يظهر صبي صغير مبتسم يمشي على الرصيف أمام جدار حجري، مع رجل وراءه وعمود أسود بصنبور ماء على اليمين.
1015584366_dfcec3c85a.jpg,كلب سعيد يقفز فوق جذع شجرة في الهواء الطلق.
101654506_8eb26cfb60.jpg,كلب رشيق يركض بفرح في الثلج المتناثر.
101669240_b2d3e7f17b.jpg,متزلج يمر بجانب رجل يعرض لوحات فنية في غابة ثلجية.
1016887272_03199f49c4.jpg,تُظهر الصورة متسلقة صخور في لقطات متتالية أثناء تقدمها على الحائط، مع شخص يؤمّنها في الأسفل.
1019077836_6fc9b15408.jpg,كلب بني يلعب بحماس على العشب الأخضر بالقرب من رذاذ الماء.
1019604187_d087bf9a5f.jpg,كلب أبيض يطارد كرة صفراء في الحديقة.
1020651753_06077ec457.jpg,كلب أبيض يقفز عالياً في مرج أخضر لالتقاط كرة صفراء.
1022454332_6af2c1449a.jpg,يظهر طفل يلوح لبطة على ضفة بحيرة في حديقة حضرية، مع مبانٍ بعيدة في الخلفية.
1022454428_b6b660a67b.jpg,تُظهر الصورة عائلة تجلس بجانب بحيرة مع طفل رضيع وعربة أطفال.
1022975728_75515238d8.jpg,كلب أسود يجري في الأمواج ويُحدث رشاشًا.
102351840_323e3de834.jpg,صيادان يقومان بصيد الأسماك على الجليد، وأحدهما يحفر ثقباً فيه.
1024138940_f1fefbdce1.jpg,كلبان يلهوان على شاطئ البحر.
102455176_5f8ead62d5.jpg,متسلق جليد يصعد جدارًا جليديًا باستخدام فؤوس الجليد والكلابات.
1026685415_0431cbf574.jpg,يظهر كلب أسود مبلل وهو يحمل أداة تدريب خضراء في فمه ويمشي عبر العشب الأخضر.
1028205764_7e8df9a2ea.jpg,رجل وطفل يجدفان بقارب كاياك أصفر على الماء.
1030985833_b0902ea560.jpg,كلبان يلعبان بحماس في الخارج، أحدهما يمسك لعبة بفمه ويكشر عن أنيابه.
103106960_e8a41d64f8.jpg,فتى مبتسم يجلس القرفصاء مع عصا الهوكي أمام مرمى.
103195344_5d2dc613a3.jpg,تمثال تجريدي ضخم في ساحة حضرية أمام مبانٍ زجاجية حديثة، مع رجل جالس يقرأ.
103205630_682ca7285b.jpg,أشخاص يمارسون صيد الأسماك على الجليد حول خيمة زرقاء.
1032122270_ea6f0beedb.jpg,شخص وثلاثة كلاب في مرج أخضر واسع تحت سماء زرقاء مليئة بالغيوم.
1032460886_4a598ed535.jpg,رجل ينظر إلى ناطحة سحاب شاهقة تتوسط مبانٍ أخرى.
1034276567_49bb87c51c.jpg,صبي يأكل فطيرة بنهم.
104136873_5b5d41be75.jpg,متسلقون يستريحون على قمة جبل مطلة على وديان خضراء خلابة.
1042020065_fb3d3ba5ba.jpg,طفل يشاهد تجمعًا كبيرًا من القوارب في الماء ليلًا.
1042590306_95dea0916c.jpg,تُظهر الصورة زوجين يتبادلان لحظة حانية ومرحة، بينما ينظر رجل آخر إليهما من الخلف بجدية.
1045521051_108ebc19be.jpg,شخص يجلس في الظلام يشاهد تلفزيونًا أزرق مضاءً، وبجانبه وجبة طعام.
1048710776_bb5b0a5c7c.jpg,خمس فتيات يجلسن على حائط ويطللن على الشاطئ والبحر المزدحم بالناس.
1052358063_eae6744153.jpg,يظهر صبيان يتزلجان على لوح التزلج في زاوية شارع، أحدهما يؤدي حركة قفز بينما يراقبه الآخر.
105342180_4d4a40b47f.jpg,تُظهر الصورة شخصًا يجدف بقاربه في نهر محاط بالطبيعة الخضراء تحت سماء زرقاء.
1053804096_ad278b25f1.jpg,فتاة صغيرة سعيدة تلهو برش الماء في مياه البحر.
1055623002_8195a43714.jpg,أطفال يخوضون معركة وسائد حماسية.
1055753357_4fa3d8d693.jpg,عاملان يرتديان خوذات واقية يجلسان على عارضة معدنية أمام مبنى زجاجي قيد الإنشاء.
1056249424_ef2a2e041c.jpg,أطفال يلعبون بالماء تحت أشعة الشمس في يوم صيفي مشمس.
1056338697_4f7d7ce270.jpg,امرأة ذات شعر أشقر من الخلف، ترتدي الأزرق وترفع ذراعها، في شارع مشمس به خط أزرق.
1056359656_662cee0814.jpg,"طفلة تجلس وتقرأ نشرة ""رحلات القطار"" داخل القطار."
1056873310_49c665eb22.jpg,كلبان يلعبان على شاطئ صخري.
1057089366_ca83da0877.jpg,طفل يقفز في الهواء من لوح الغطس بمسبح خارجي.
1057210460_09c6f4c6c1.jpg,يظهر شخص متعب يستند إلى جدار بجانب مدخل مصعد مضاء في مشهد ليلي.
1057251835_6ded4ada9c.jpg,كلب ينطلق بفرح على شاطئ البحر.
106490881_5a2dd9b7bd.jpg,صبي صغير يبتسم للكاميرا على الشاطئ، مرتدياً سروال سباحة.
106514190_bae200f463.jpg,متزلج يقف على قمة جبل ثلجي يطل على مشهد شتوي واسع وسماء زرقاء صافية.
1067180831_a59dc64344.jpg,كلب أسود وأبيض يقفز في الهواء لالتقاط طبق طائر فوق العشب الأخضر.
