image,caption
1052358063_eae6744153.jpg,يظهر في الصورة طفلان يمارسان التزلج على السكيت بورد بجانب مبنى، أحدهما يقفز بينما الآخر ينتظر دوره.
1118557877_736f339752.jpg,الصورة تظهر طفلاً صغيراً يستمتع باللعب في الماء، حيث يبتسم ويبدو سعيداً بينما تتناثر قطرات الماء حوله.
1131932671_c8d17751b3.jpg,الصورة تظهر طفلاً يقفز على سرير، ويبدو أنه يستمتع بوقت ممتع.
1255504166_f2437febcb.jpg,الصورة تظهر طفلاً يسبح في الماء، مع رشقات من الماء تخرج من فمه، وخلفية من سماء ملبدة بالغيوم وجبال.
1290894194_8a4ffdc7eb.jpg,تجلس امرأة وكطفلة صغيرة على الأرض بجانب كلب، ويبدو أنهم يتفاعلون مع بعضهم البعض في مكان عام.
1481062342_d9e34366c4.jpg,الصورة تظهر طفلة صغيرة تركض في ممر منزل ذي أرضية خشبية لامعة.
2061354254_faa5bd294b.jpg,يستمتع صبي باللعب على حبل انزلاقي بينما يرافقه رجل يركض بجانبه.
2064790732_219e52e19c.jpg,الصورة تظهر طفلاً صغيراً يمشي في الشارع وسط مجموعة من البالغين، ويبدو أنه يمارس حركات قتالية أو يرقص.
2181117039_c4eea8036e.jpg,تُظهر الصورة مجموعة من الأطفال يركضون ويطاردون سربًا من الحمام في ساحة مرصوفة بالحصى.
2209888959_d636b1be0b.jpg,الصورة تظهر طفلة صغيرة ترتدي ملابس سباحة، وهي تحمل عصا خشبية وتعبّر عن تعبير وجه مضحك.
2080033499_6be742f483.jpg,تظهر الصورة كلبًا ذهبي اللون يقفز بسعادة أثناء المشي مع صاحبه على طريق مغطى بأوراق الشجر المتساقطة.
2186087673_c7a73da7ce.jpg,الصورة تظهر طفلاً صغيراً يختبئ خلف شخص بالغ، ربما والديه، ويبتسم للكاميرا.
