image,caption
128912885_8350d277a4.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

التقطت الصورة كلبًا أبيض اللون مع بقع بنية اللون وهو يقفز في الهواء بحماس وهو يحاول الإمساك بكرة حمراء."
1289142574_2bd6a082dd.jpg,الصورة تظهر طفلاً صغيراً يقفز على طاولة نزهة في حديقة، ويبدو سعيداً ومتحمساً.
1290894194_8a4ffdc7eb.jpg,
1294578091_2ad02fea91.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة فنانًا يرسم في الهواء الطلق بينما يجلس شخصان بالقرب منه، أحدهما يتحدث على الهاتف المحمول والآخر يكتب، مع وجود امرأة أخرى جالسة في الخلفية."
1295669416_21cabf594d.jpg,الصورة تظهر امرأة تجلس على حافة جدار حجري، ترتدي قميصًا أحمر وأسود وبنطالًا أسود، وتستمع إلى الموسيقى بسماعات الأذن.
1295671216_cde1b9c9d1.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة مجموعة من الأشخاص في مكان عام، وأحدهم يرتدي سترة زرقاء داكنة وبنطال جينز وينظر إلى هاتف محمول."
1295698260_e10c53c137.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة شخصًا يلتقط صورة بهاتفه لشخص آخر يحمل كيس تسوق عليه كلمة ""Sale"" (تخفيضات) في مكان عام مزدحم."
129599450_cab4e77343.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

يظهر في الصورة شخص يسير على طريق جبلي، يحمل حقيبة ظهر مزينة بالعلم الأمريكي، مع خلفية من المناظر الطبيعية الجبلية الخضراء والسماء الزرقاء الصافية."
1296412797_85b6d2f8d6.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة طفلة صغيرة تُطير في الهواء بواسطة شخص بالغ، بينما تضحك طفلة أخرى على العشب، مع وجود شخص بالغ آخر يقف بالقرب منهما في الخلفية."
1296770308_3db2022f5a.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة بارًا مظلمًا مع عدد قليل من الأشخاص الجالسين أو الواقفين حوله ، مع إضاءة خافتة تبرز البار نفسه."
1298295313_db1f4c6522.jpg,الصورة تظهر طفلاً يقفز من لوح غطس في بحيرة، وهو يرتدي سترة نجاة.
1298866571_b4c496b71c.jpg,الصورة تظهر شابًا يرتدي بدلة وربطة عنق وهو يستخدم هاتفه المحمول في وسيلة نقل عام، ربما قطار أو حافلة.
1299459550_1fd5594fa2.jpg,الصورة تظهر طفلاً مستلقياً في الماء، ربما في حوض سباحة أو بركة، وهو يخفي وجهه بذراعه.
1299459562_ed0e064aee.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة ثلاثة أولاد يستمتعون باللعب في نافورة مياه، ويبدو أنهم يتبادلون رشات الماء في يوم حار."
1301140633_046e4e8010.jpg,الصورة تظهر طفلاً صغيراً بوجه مغطى بالشوكولاتة، وهو يحمل زجاجة صغيرة، ويبدو سعيداً ومرحاً.
130211457_be3f6b335d.jpg,"بالتأكيد ، إليك وصف للصورة في جملة قصيرة:

تظهر الصورة رجلاً يقف بين امرأتين ترتديان ملابس سباق ، ويبدو أنهم في حدث رياضي في الهواء الطلق."
1302657647_46b36c0d66.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

يظهر رجل معلقًا على هيكل خشبي يشبه سلمًا أو جهازًا رياضيًا في الهواء الطلق، ويبدو أنه يحاول التسلق أو التمرن في الليل."
1303335399_b3facd47ab.jpg,الصورة تظهر طفلاً صغيراً على وشك الانزلاق في حوض السباحة من زلاقة مائية، ويبدو عليه بعض الخوف أو المفاجأة.
1303548017_47de590273.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تظهر امرأة شابة ترتدي قميصًا أخضر وسراويل قصيرة وهي تقف على قضبان السكك الحديدية في محطة قطار، مع وجود عربات قطار ملونة في الخلفية."
1303550623_cb43ac044a.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تقف فتاة على قضبان السكة الحديدية بجوار محطة القطار، وتنظر إلى الأمام."
1303727066_23d0f6ed43.jpg,"بالتأكيد، إليك وصف للصورة في جملة قصيرة:

تُظهر الصورة رجلاً يرتدي قميصًا عليه رمز السلام، وهو يمشي في حشد من الناس في سوق أو مهرجان في الهواء الطلق."
