image,caption
1895768965_43cd9d164f.jpg,كلب يجري في الغابة.
1897025969_0c41688fa6.jpg,تعرض الصورة كلبين أحدهما أسود والآخر أبيض يلعبان على الشاطئ.
189721896_1ffe76d89e.jpg,يصعد رجل شاب صخرة ضخمة في بيئة جبلية، مرتديا حزام تسلق وحقيبة ظهر.
189740668_0b045f1ff2.jpg,صورة لرجل يتسلق الجبل.
190965502_0b9ed331d9.jpg,صورة لشاطئ في فصل الصيف يوجد به كراسي بلون أبيض و أشخاص يمارسون السباحة.
191003284_1025b0fb7d.jpg,رجل و امرأة يتفحّصان دراجة هوائية أمام محل.
191003285_edd8d0cf58.jpg,رجل وطفلة يجلسان على الأرض يأكلان مثلجاتهما.
191003287_2915c11d8e.jpg,الرجل والطفلة جالسين على الأرض في الخارج، يطعمها الرجل قطعة خبز.
191592626_477ef5e026.jpg,الصورة لشاب يتسلق الجبال.
1917203130_fcaff8b10e.jpg,طفلة تتجول بمركز العلوم في إحدى الحدائق العامة.
1917265421_aeccf1ca38.jpg,حشد من الناس واقفين في ساحة لعب في الهواء الطلق.
1918573100_d31cbb6b77.jpg,كلب من نوع شيلي يركض فوق حاجز.
19212715_20476497a3.jpg,صورة لشخص يركب قاربًا في عرض البحر.
1923476156_e20976b32d.jpg,كلب أبيض يمشي بجانب دراجة.
1924234308_c9ddcf206d.jpg,امرأة في بيكيني تقفز من صخرة إلى أخرى في مجرى مائي صغير.
1925434818_2949a8f6d8.jpg,صبي يلهو مع صبية في حوض كرات ملونة.
1926129518_4350f4f552.jpg,الكلاب تلعب في الحديقة.
1928319708_ccf1f4ee72.jpg,رجل يركب دراجة على طريق منحني.
1932161768_996eadac87.jpg,كلب من فصيلة وستي يمشي فوق جذع شجرة.
1937104503_313d22a2d0.jpg,كلب يخرج من الماء.
1937262236_cbf5bfa101.jpg,كلبان يلعبان بكرة على الشاطئ.
1947351225_288d788983.jpg,صورة لعديد من الأطفال وهم فرحون ويحمل أحدهم هدية.
195084264_72fb347b0f.jpg,رجل مسن يمسك طبق خشبي كبير بجانب مجموعة من الأطباق الخشبية.
1952896009_cee8147c90.jpg,امرأة ترتدي ملابس عادية وتحمل طفلاً على ظهرها، وتسير في طريق مع حقيبة يد وحقيبة أرجوانية أخرى.
1956678973_223cb1b847.jpg,الأطفال يلعبون في كومة من الأوراق في الفناء.
1956944011_c5661d3f22.jpg,صورة لطفلين في ساحة لعب، أحدهما يتسلق على سلم حديدي بينما الآخر يقف على الأرض.
195962284_e57178054a.jpg,صورة لشاب يلعب في مياه في حديقة ما.
195962790_3380aea352.jpg,صورة لامرأة جالسة على حافة بركة مائية مع كلب صغير أسمر ولابدو رottweiler يرتبط بالمقود.
1962729184_6996e128e7.jpg,صورة لطفلين يقودان دراجة وهو يمشي بجانب حشد من الناس وهم يتجمعون حول بيانو على الشارع.
1965278563_8279e408de.jpg,كلب في زورق على شكل كانو ينظر إلى المسطح المائي.
1969573381_5ecfae4c80.jpg,كلبٌ صغير ذو لون بني فاتح يبدو في بيئة طبيعية.
197107117_4b438b1872.jpg,الصورة لشاب يصعد أحد الجبال الشاهقة.
197142902_f05ff198c2.jpg,صورة لشابين يضحكان أثناء نفخ الفقاقيع.
197504190_fd1fc3d4b7.jpg,صورة لطفلين يلعبان كرة القدم في ساحة خضراء في فصل الخريف.
